Iteración,Error absoluto,Error relativo,Error cuadrático
0,7.777777777777778,0.9999999999871428,193.52358024691353
1,2.9861111111111116,0.3096792778919296,17.714004865912216
2,0.8036342592592591,0.07957239283842256,0.920818205926613
3,0.15111317690796788,0.014866688614697423,0.02888234275426589
4,0.02240756772959074,0.0022022794526175083,0.000646999238762085
5,0.003469821729254363,0.00034097171053437935,1.545568501807697e-05
6,0.0005327324866328809,5.234921029666216e-05,3.645939037345335e-07
7,8.192803365858481e-05,8.050667898624816e-06,8.621725995869324e-09
8,1.2595495618938912e-05,1.237697174564168e-06,2.037847735983508e-10
9,1.93653517399639e-06,1.902937352047274e-07,4.817144110226701e-12
10,2.977351982735854e-07,2.925696522137464e-08,1.1386747142988843e-13

Solución aproximada
8.967365427023466
10.176557821969158
9.488173448713223
8.332232377551648
